ID STG_L
01 0.45
03 0.5333333333333333
04 0.5
05 0.5166666666666666
06 0.4583333333333333
07 0.65
08 0.4833333333333334
09 0.4916666666666667
10 0.5083333333333333
11 0.4416666666666667
12 0.5666666666666667
13 0.5416666666666666
14 0.5166666666666667
15 0.525
16 0.525
17 0.5499999999999999
18 0.5333333333333333
19 0.4666666666666666
20 0.5666666666666668
21 0.5
22 0.4833333333333334
23 0.5583333333333333
24 0.5499999999999999
25 0.5499999999999999
26 0.4916666666666667
27 0.4083333333333334
28 0.5166666666666666
29 0.5166666666666666
30 0.4916666666666667
