ID Cuneus
01 0.7416666666666666
03 0.6833333333333332
04 0.625
05 0.55
06 0.6
07 0.9166666666666666
08 0.7833333333333333
09 0.525
10 0.5166666666666666
11 0.5083333333333333
12 0.5333333333333333
13 0.48333333333333334
14 0.5499999999999999
15 0.7999999999999999
16 0.5750000000000001
17 0.6083333333333334
18 0.4166666666666667
19 0.6999999999999998
20 0.575
21 0.5083333333333333
22 0.5416666666666666
23 0.6333333333333333
24 0.575
25 0.6583333333333333
26 0.5666666666666667
27 0.5166666666666667
28 0.6916666666666668
29 0.5166666666666666
30 0.9333333333333332
