ID R_IPS
01 0.5
03 0.525
04 0.4916666666666667
05 0.4833333333333334
06 0.5083333333333334
07 0.6916666666666668
08 0.55
09 0.5499999999999999
10 0.5916666666666667
11 0.5333333333333333
12 0.47500000000000003
13 0.47500000000000003
14 0.5833333333333334
15 0.49166666666666664
16 0.47500000000000003
17 0.5333333333333333
18 0.47500000000000003
19 0.575
20 0.575
21 0.5750000000000001
22 0.5083333333333333
23 0.65
24 0.6166666666666667
25 0.5666666666666667
26 0.525
27 0.525
28 0.5583333333333333
29 0.5416666666666666
30 0.5666666666666668
