ID R_LATOCC
01 0.6583333333333333
03 0.5750000000000001
04 0.5499999999999999
05 0.5499999999999999
06 0.5916666666666667
07 0.7333333333333334
08 0.525
09 0.4166666666666667
10 0.45
11 0.47500000000000003
12 0.39999999999999997
13 0.44166666666666665
14 0.5333333333333333
15 0.575
16 0.5750000000000001
17 0.5333333333333333
18 0.5083333333333333
19 0.5666666666666667
20 0.4916666666666667
21 0.5166666666666667
22 0.5750000000000001
23 0.5583333333333332
24 0.43333333333333335
25 0.5666666666666667
26 0.6166666666666667
27 0.4416666666666667
28 0.49166666666666664
29 0.47500000000000003
30 0.525
