ID Cuneus
01 0.7083333333333333
03 0.575
04 0.6
05 0.5666666666666667
06 0.6083333333333334
07 0.9
08 0.7333333333333334
09 0.475
10 0.5666666666666667
11 0.48333333333333334
12 0.5
13 0.44166666666666665
14 0.5
15 0.7916666666666667
16 0.5916666666666667
17 0.5166666666666667
18 0.5
19 0.75
20 0.525
21 0.4666666666666667
22 0.525
23 0.5583333333333333
24 0.525
25 0.5833333333333334
26 0.5416666666666667
27 0.5583333333333333
28 0.675
29 0.55
30 0.9
