ID IPS_R
01 0.55
03 0.5833333333333333
04 0.5083333333333333
05 0.5166666666666667
06 0.5083333333333333
07 0.5583333333333333
08 0.5416666666666667
09 0.55
10 0.5416666666666667
11 0.5333333333333333
12 0.45833333333333337
13 0.44166666666666665
14 0.6000000000000001
15 0.5166666666666666
16 0.43333333333333335
17 0.45
18 0.6000000000000001
19 0.6166666666666667
20 0.575
21 0.5083333333333333
22 0.4916666666666667
23 0.4916666666666667
24 0.55
25 0.5083333333333333
26 0.6
27 0.5333333333333333
28 0.5583333333333333
29 0.6166666666666667
30 0.55
