ID STG_L
01 0.4916666666666667
03 0.44166666666666665
04 0.6083333333333334
05 0.5416666666666666
06 0.5416666666666667
07 0.6833333333333333
08 0.4666666666666667
09 0.5333333333333334
10 0.5333333333333334
11 0.4916666666666667
12 0.525
13 0.5333333333333333
14 0.5333333333333333
15 0.45833333333333337
16 0.55
17 0.5
18 0.475
19 0.575
20 0.5666666666666667
21 0.5
22 0.5416666666666667
23 0.4916666666666667
24 0.5833333333333333
25 0.47500000000000003
26 0.575
27 0.525
28 0.45833333333333337
29 0.5333333333333334
30 0.5666666666666667
