ID R_IPS
01 0.5416666666666667
03 0.475
04 0.45000000000000007
05 0.5416666666666667
06 0.575
07 0.7166666666666666
08 0.5166666666666667
09 0.5416666666666667
10 0.6166666666666667
11 0.5083333333333333
12 0.44166666666666665
13 0.4916666666666667
14 0.5666666666666667
15 0.5333333333333333
16 0.575
17 0.475
18 0.5416666666666667
19 0.5833333333333334
20 0.45833333333333337
21 0.4166666666666667
22 0.4916666666666667
23 0.6416666666666666
24 0.5583333333333333
25 0.47500000000000003
26 0.525
27 0.525
28 0.5
29 0.5
30 0.5166666666666666
