ID R_LATOCC
01 0.6
03 0.6083333333333334
04 0.5666666666666667
05 0.6
06 0.6166666666666667
07 0.7583333333333333
08 0.41666666666666663
09 0.42500000000000004
10 0.55
11 0.4166666666666667
12 0.475
13 0.44166666666666665
14 0.5166666666666667
15 0.6083333333333334
16 0.525
17 0.5
18 0.5416666666666667
19 0.6166666666666667
20 0.5416666666666667
21 0.42500000000000004
22 0.5666666666666667
23 0.475
24 0.525
25 0.5166666666666667
26 0.5916666666666667
27 0.5416666666666667
28 0.5166666666666666
29 0.5666666666666667
30 0.5833333333333333
