ID STG_R
01 0.5666666666666667
03 0.4916666666666667
04 0.5833333333333333
05 0.5583333333333333
06 0.5333333333333333
07 0.5666666666666667
08 0.6083333333333334
09 0.5
10 0.675
11 0.42500000000000004
12 0.5
13 0.4916666666666667
14 0.55
15 0.575
16 0.475
17 0.48333333333333334
18 0.5333333333333334
19 0.4833333333333334
20 0.4666666666666667
21 0.5583333333333333
22 0.5166666666666666
23 0.4916666666666667
24 0.5583333333333333
25 0.4666666666666667
26 0.4916666666666667
27 0.5083333333333333
28 0.5
29 0.55
30 0.5083333333333333
