ID PCG_L
01 0.4666666666666667
03 0.5166666666666666
04 0.5166666666666667
05 0.6083333333333334
06 0.575
07 0.6333333333333333
08 0.5166666666666666
09 0.6
10 0.4166666666666667
11 0.5083333333333333
12 0.475
13 0.45
14 0.6083333333333334
15 0.4916666666666667
16 0.5583333333333333
17 0.55
18 0.575
19 0.5666666666666667
20 0.4166666666666667
21 0.5666666666666667
22 0.5166666666666666
23 0.475
24 0.525
25 0.575
26 0.5333333333333333
27 0.5416666666666667
28 0.5
29 0.575
30 0.5583333333333333
