ID IFG_R
01 0.5166666666666666
03 0.5
04 0.5333333333333334
05 0.4916666666666667
06 0.5
07 0.5416666666666667
08 0.5083333333333333
09 0.5666666666666667
10 0.48333333333333334
11 0.48333333333333334
12 0.575
13 0.5
14 0.5416666666666667
15 0.5583333333333333
16 0.525
17 0.44166666666666665
18 0.5083333333333333
19 0.5583333333333333
20 0.5333333333333334
21 0.5333333333333333
22 0.4666666666666667
23 0.5833333333333334
24 0.475
25 0.575
26 0.55
27 0.48333333333333334
28 0.5666666666666667
29 0.6
30 0.5416666666666667
