ID	value_corr_in_RPE_VMPF_ROI	value_corr_in_RPE_VS_ROI	value_corr_in_RPE_VTA_ROI	devalue_corr_in_RPE_VMPF_ROI	devalue_corr_in_RPE_VS_ROI	devalue_corr_in_RPE_VTA_ROI
01	-1.51630056926182	0.336014202651633	0.323980698015633	-3.06681487432548	-0.452475267869066	0.137678414690963
03	-2.6882888755628	-0.273331508906165	-1.00138188482547	-2.28814352356962	-0.448633929032465	-1.60079859791339
04	0.014528838917613	0.25947418568892	0.558312626863437	-1.15027518432055	-0.412020561193496	-0.616394758901813
05	-0.855510945564934	0.162144083162429	0.294833039903382	-1.49738771958011	-0.974118875995488	0.446839590687767
06	-0.911097339753594	-0.0176277731112401	-0.0764155656653495	-0.428517434533153	0.0774944524844767	0.330464312067825
07	-7.1123605804784	-0.0958452720299993	-0.408628823104784	-6.22120732963085	1.08086016532821	-0.337967482972736
08	-0.0265582861910973	-0.85316058458157	-0.0875569029195496	-2.62741914966277	-1.66766694219599	-1.16612310579801
09	-1.15796841095601	-0.440619791923484	-0.381244549408463	0.118083471645202	0.26371835843778	0.712344950511436
10	-0.742419495220695	-0.0131049135463758	-0.390563465639456	0.00629518053361348	-0.4959072273382	-0.780229104059356
11	-1.78956969848701	0.298032319986484	0.144763810206051	-1.15795387689556	-0.0890389010310173	0.120161618575577
12	0.482014784097139	1.05621921323555	0.715237682731437	0.285623191403491	0.270476524836161	0.809608807664149
13	-0.175645620269435	0.321346836190828	-0.0136424171669055	-1.59836415983737	-0.835323910661776	-0.497057380770479
14	0.0754491324935641	0.0600406564772129	0.249407487013185	-0.220475048571825	-0.552653213385755	0.105596271435892
15	1.74738462514111	1.19611367205499	0.921252685206488	0.57165434807539	0.515379725181511	0.568952169269323
16	0.0737700386771134	0.541806504445177	0.116635874929753	-3.71016132831573	-0.0274990115472129	-0.875098332247027
17	-2.00956619935376	-0.0781719732609853	-0.105601008073234	-2.53106485126274	0.862850028654219	0.600048918761929
18	-0.962824590956526	-0.764853750526066	-0.304594165868749	-1.49839737543038	-0.456600972018401	0.0737620577108392
19	0.682060300026621	0.349207715039522	0.236861932453168	-0.375079956224986	-1.02964913834568	0.107939517371788
20	-0.265689590094345	-0.243733197555576	0.323964454110496	0.159303202373641	-0.376560698197761	-0.263160173912063
21	1.29967535606452	0.688270742781985	0.44464500026762	-1.07945448351758	-0.509811754482733	0.280655892550453
22	-2.23355979536261	0.00633254399339498	0.342877923149215	1.11955888494849	-0.26301178258096	-0.116375322642251
23	0.434222391886371	0.299041334801996	1.28669069167073	-0.916183229163289	0.353803504697821	1.54251769455996
24	-1.79210820794106	-0.700151717368986	0.00106339001920351	-2.79158678704074	-0.572252814257911	-0.695913228244821
25	0.407085163678442	0.306116837824524	-0.0841513965124926	1.19075436006699	0.530679928138852	0.494281621395864
26	1.41567099392414	-0.193776105438739	-0.0279570876674588	0.767559827651296	-0.00474939619938672	-0.251825188856172
27	0.0601727132286344	0.0529641360569168	-0.281543485258421	0.339854678245527	-0.499489585514849	0.974544591000996
28	-0.686247296631336	-0.490277805313153	0.0758324751884423	-2.85146703805242	-0.790258627857121	0.153978305029844
29	0.279325943546636	-0.14169792274774	-0.331070571385463	-0.591507924028805	-0.511244246132777	0.169890594938077
30	-2.45865042826959	0.258471148193512	1.80344134375207	0.551788261532783	0.252368171659993	1.74163822016933
