ID	RPE_in_RPE_VMPF_ROI	RPE_in_RPE_VS_ROI	RPE_in_RPE_VTA_ROI
01	0.649447718262672	0.774519944484805	0.697596012968724
03	1.01919732306685	0.201834791956443	0.469544654958381
04	0.418080264995141	0.24182466045022	0.22038065576695
05	0.771466927017484	0.846144920398652	0.1428645767564
06	-0.0448589583858848	-0.112281008676009	-0.257419734392777
07	0.360915567938771	0.0493639693398711	0.802908592895905
08	1.36535271810634	0.490567051189047	0.446713192865622
09	0.703991388922025	0.0901832306547694	0.619757333870454
10	1.23546370682972	0.166221409790139	0.348914368524532
11	-0.259245375211218	0.425228339895396	0.750174935937913
12	0.924574163343225	0.490408799781556	0.613361498429478
13	1.17744500828641	1.12953402248906	0.763779336694351
14	1.26265617521214	0.958704271498071	0.61446686994192
15	-0.316954983824066	0.111104828462949	0.325613629534717
16	2.13706393539906	0.610727467744703	-0.17895888577962
17	-0.34985843077302	0.0735761707937214	0.318488649229234
18	0.394328045845032	0.37348601270572	0.359413903576037
19	0.3933861559523	0.924875901723412	0.765827978353116
20	0.155888084774571	0.286497274794104	0.336744904695156
21	1.32294000153031	-0.00753940485785125	0.115213275263625
22	0.72353943330901	0.171264373330058	-0.156792195134773
23	1.09283864514104	0.375218974662499	0.569738823758854
24	0.118824883310923	0.215277547515194	0.884323263894921
25	-0.506160112576825	-0.0943070828494891	0.0929009979398352
26	-1.00642510599324	0.547744683842634	1.83735020975929
27	0.696260434628597	0.19183975557836	0.0371372349337051
28	0.165973322199924	0.171782740811542	0.107269436936856
29	0.21997279870723	0.180223632472712	-0.0822141494925234
30	1.00266844608954	0.289423527865028	0.865082086941366
