"","roi","N","mean","ci"
"1","IFG",29,0.129233699246289,0.342418544389878
"2","IPS",29,0.236081792833025,0.191754375221738
"3","PCG",29,0.374994812315868,0.251972843512379
"4","PCL",29,0.142698046794846,0.125376507352289
