"","ROI","se","N","mean"
"1","Cuneus",0.0231579856918557,29,0.614942528735632
"2","IPS",0.00993860083578427,29,0.541954022988506
"3","LOC",0.0136956911852898,29,0.529310344827586
"4","SMG",0.00669233599278561,29,0.509195402298851
