"","ID","roi","CS","index"
"2","1","PCG","devalued",0.33618922187732
"4","1","PCG","valued",-0.263150111987041
"6","1","PCL","devalued",-0.048293923706139
"8","1","PCL","valued",-0.314820032420121
"10","1","IFG","devalued",-1.367041266426
"12","1","IFG","valued",-0.210524087243561
"14","1","IPS","devalued",-0.126172367167675
"16","1","IPS","valued",0.288196017744683
"18","3","PCG","devalued",-4.69602017333874
"20","3","PCG","valued",-4.18883702388177
"22","3","PCL","devalued",-2.24995054207801
"24","3","PCL","valued",-2.28113808594351
"26","3","IFG","devalued",-6.26558885956878
"28","3","IFG","valued",-5.33478392060124
"30","3","IPS","devalued",-2.4131360220707
"32","3","IPS","valued",-2.32918562992649
"34","4","PCG","devalued",0.445776969051132
"36","4","PCG","valued",0.45296937198593
"38","4","PCL","devalued",-0.361223450057964
"40","4","PCL","valued",-0.119009581163496
"42","4","IFG","devalued",0.21071574575643
"44","4","IFG","valued",-0.00582446865459402
"46","4","IPS","devalued",-0.282723680012307
"48","4","IPS","valued",-0.189281001544984
"50","5","PCG","devalued",-2.69385526386591
"52","5","PCG","valued",-1.47153164904851
"54","5","PCL","devalued",-0.211386572899605
"56","5","PCL","valued",-0.278617619406651
"58","5","IFG","devalued",1.27593456141984
"60","5","IFG","valued",0.161350786852748
"62","5","IPS","devalued",-0.347053224015665
"64","5","IPS","valued",0.135629406767124
"66","6","PCG","devalued",-0.945528829326997
"68","6","PCG","valued",-0.882478250477177
"70","6","PCL","devalued",-0.299719675656731
"72","6","PCL","valued",-0.221924423438123
"74","6","IFG","devalued",-0.354202394637822
"76","6","IFG","valued",-0.082591962875493
"78","6","IPS","devalued",0.29696027656733
"80","6","IPS","valued",-0.202771094872348
"82","7","PCG","devalued",0.424815521790432
"84","7","PCG","valued",0.171302422737846
"86","7","PCL","devalued",0.141023988379019
"88","7","PCL","valued",0.0265326996711559
"90","7","IFG","devalued",-0.072197808477499
"92","7","IFG","valued",0.042142111133896
"94","7","IPS","devalued",0.795429754844409
"96","7","IPS","valued",0.870718898188512
"98","8","PCG","devalued",-1.18703952016165
"100","8","PCG","valued",-0.108392864465713
"102","8","PCL","devalued",-0.686217456762712
"104","8","PCL","valued",-0.306224787252127
"106","8","IFG","devalued",-0.50400236827224
"108","8","IFG","valued",0.856916788353848
"110","8","IPS","devalued",-1.39163405145124
"112","8","IPS","valued",0.0678970914302491
"114","9","PCG","devalued",-1.22811342962086
"116","9","PCG","valued",-0.897132612764835
"118","9","PCL","devalued",-0.692948791895091
"120","9","PCL","valued",-0.895485281005619
"122","9","IFG","devalued",0.156876137042279
"124","9","IFG","valued",-0.470987000780653
"126","9","IPS","devalued",-1.6289828674773
"128","9","IPS","valued",-1.33845389192387
"130","10","PCG","devalued",-1.44232797737305
"132","10","PCG","valued",-1.02303526822764
"134","10","PCL","devalued",-0.119028517618907
"136","10","PCL","valued",-0.412477971127946
"138","10","IFG","devalued",-1.7198428450597
"140","10","IFG","valued",-2.89450099602786
"142","10","IPS","devalued",0.367828906446663
"144","10","IPS","valued",0.016043968246145
"146","11","PCG","devalued",-0.070189921471936
"148","11","PCG","valued",-0.502964024933485
"150","11","PCL","devalued",0.561595379279589
"152","11","PCL","valued",0.117239050695482
"154","11","IFG","devalued",2.1929145065039
"156","11","IFG","valued",1.39987869197572
"158","11","IPS","devalued",0.050556609596489
"160","11","IPS","valued",0.171085157557943
"162","12","PCG","devalued",-0.27400961862161
"164","12","PCG","valued",0.951508840116171
"166","12","PCL","devalued",0.079099592525424
"168","12","PCL","valued",0.386562103596259
"170","12","IFG","devalued",-2.44319631451212
"172","12","IFG","valued",-1.41109245651359
"174","12","IPS","devalued",-0.335885082071615
"176","12","IPS","valued",-0.084350518093018
"178","13","PCG","devalued",-0.265822018568332
"180","13","PCG","valued",0.652485625101968
"182","13","PCL","devalued",-0.42137494014474
"184","13","PCL","valued",0.307501524569482
"186","13","IFG","devalued",-0.430788773292703
"188","13","IFG","valued",0.111597039639506
"190","13","IPS","devalued",-0.268722172542396
"192","13","IPS","valued",0.146367555705168
"194","14","PCG","devalued",-0.40067635018092
"196","14","PCG","valued",-1.104189806976
"198","14","PCL","devalued",1.7482974825383
"200","14","PCL","valued",2.00893347923768
"202","14","IFG","devalued",-0.777032271986689
"204","14","IFG","valued",-0.338182993434759
"206","14","IPS","devalued",2.59108573498236
"208","14","IPS","valued",4.05447336570439
"210","15","PCG","devalued",-2.71238727065233
"212","15","PCG","valued",-0.955489994241642
"214","15","PCL","devalued",-0.885378446708631
"216","15","PCL","valued",-0.399402964849201
"218","15","IFG","devalued",-2.15130099843242
"220","15","IFG","valued",-0.680022470201297
"222","15","IPS","devalued",-0.940231697476012
"224","15","IPS","valued",-0.354807662509256
"226","16","PCG","devalued",-1.9324634424769
"228","16","PCG","valued",-1.2861228075165
"230","16","PCL","devalued",-1.33790344172928
"232","16","PCL","valued",-0.714536921684007
"234","16","IFG","devalued",-0.785772318103867
"236","16","IFG","valued",1.5595506543099
"238","16","IPS","devalued",-0.697871207559513
"240","16","IPS","valued",0.111034452536348
"242","17","PCG","devalued",-0.934538448086152
"244","17","PCG","valued",-0.826500794635371
"246","17","PCL","devalued",-0.432942175365046
"248","17","PCL","valued",-0.122152534768162
"250","17","IFG","devalued",0.029229505376807
"252","17","IFG","valued",0.81885707236604
"254","17","IPS","devalued",0.018932944649073
"256","17","IPS","valued",0.109667115039744
"258","18","PCG","devalued",0.302303029940678
"260","18","PCG","valued",0.635206741782333
"262","18","PCL","devalued",0.413799565908771
"264","18","PCL","valued",0.121276988394881
"266","18","IFG","devalued",1.78433583087441
"268","18","IFG","valued",0.9028035238274
"270","18","IPS","devalued",0.464328262197264
"272","18","IPS","valued",0.165110016841505
"274","19","PCG","devalued",-0.600654975152933
"276","19","PCG","valued",-1.08851136123905
"278","19","PCL","devalued",-0.692611387938143
"280","19","PCL","valued",-1.13438212185893
"282","19","IFG","devalued",0.35124880953956
"284","19","IFG","valued",-0.929175099886173
"286","19","IPS","devalued",-0.860654490605249
"288","19","IPS","valued",-0.936261465520425
"290","20","PCG","devalued",-0.0873771891571
"292","20","PCG","valued",1.29074075789406
"294","20","PCL","devalued",-0.264832172117482
"296","20","PCL","valued",0.0224420605557347
"298","20","IFG","devalued",0.236651663265344
"300","20","IFG","valued",-0.0258638752596592
"302","20","IPS","devalued",-0.123882454449027
"304","20","IPS","valued",0.408270809317986
"306","21","PCG","devalued",0.861342671972059
"308","21","PCG","valued",-0.01958150187364
"310","21","PCL","devalued",-0.49021999150016
"312","21","PCL","valued",-0.464340183396245
"314","21","IFG","devalued",-0.571632593842363
"316","21","IFG","valued",-1.40294749389833
"318","21","IPS","devalued",-0.569146970444816
"320","21","IPS","valued",-0.794079029238073
"322","22","PCG","devalued",-0.674848789277558
"324","22","PCG","valued",-0.702862606921162
"326","22","PCL","devalued",-1.01829108711713
"328","22","PCL","valued",-0.443488431016467
"330","22","IFG","devalued",-1.46526240855594
"332","22","IFG","valued",-1.14358551202884
"334","22","IPS","devalued",-0.885277164752706
"336","22","IPS","valued",-0.155452947084934
"338","23","PCG","devalued",-0.980855470666518
"340","23","PCG","valued",-0.517364294339831
"342","23","PCL","devalued",-0.423550184115797
"344","23","PCL","valued",-0.195618467673102
"346","23","IFG","devalued",0.05681094710729
"348","23","IFG","valued",-0.5521529145094
"350","23","IPS","devalued",-0.163422431702078
"352","23","IPS","valued",-0.440312438533973
"354","24","PCG","devalued",-0.012724560363075
"356","24","PCG","valued",0.316599358553784
"358","24","PCL","devalued",-0.123717545209028
"360","24","PCL","valued",0.41023907833916
"362","24","IFG","devalued",0.217830712990418
"364","24","IFG","valued",0.614863737722609
"366","24","IPS","devalued",0.063825152688108
"368","24","IPS","valued",0.813503761286452
"370","25","PCG","devalued",-0.083078859517207
"372","25","PCG","valued",0.748541623067397
"374","25","PCL","devalued",-0.124879754359255
"376","25","PCL","valued",0.107091859314869
"378","25","IFG","devalued",0.877756421690556
"380","25","IFG","valued",0.160897449214957
"382","25","IPS","devalued",0.605822567212379
"384","25","IPS","valued",0.231504331106099
"386","26","PCG","devalued",0.014110443683771
"388","26","PCG","valued",0.113738463904995
"390","26","PCL","devalued",0.187515631772754
"392","26","PCL","valued",0.39145570342781
"394","26","IFG","devalued",-0.43874609450907
"396","26","IFG","valued",-0.21605952559456
"398","26","IPS","devalued",0.717930238538074
"400","26","IPS","valued",1.05448995622159
"402","27","PCG","devalued",-0.221848670608149
"404","27","PCG","valued",0.031068328624735
"406","27","PCL","devalued",0.277125444651882
"408","27","PCL","valued",0.102321284159461
"410","27","IFG","devalued",-1.37120026644709
"412","27","IFG","valued",-1.3088693729421
"414","27","IPS","devalued",0.323016344759045
"416","27","IPS","valued",-0.074195671826601
"418","28","PCG","devalued",1.61710023041815
"420","28","PCG","valued",2.78801849556084
"422","28","PCL","devalued",-0.057121572341389
"424","28","PCL","valued",0.518095098127882
"426","28","IFG","devalued",1.36801498055235
"428","28","IFG","valued",1.70515077502758
"430","28","IPS","devalued",0.334955047784468
"432","28","IPS","valued",0.593451628998175
"434","29","PCG","devalued",1.48155422909902
