"","ID","roi","CS","index"
"436","29","PCG","valued",2.24516077454273
"438","29","PCL","devalued",0.54783247156054
"440","29","PCL","valued",0.865210369106485
"442","29","IFG","devalued",0.542404450837578
"444","29","IFG","valued",1.44498244609072
"446","29","IPS","devalued",0.474148730037071
"448","29","IPS","valued",0.870410168638169
"450","30","PCG","devalued",-0.0877857212908566
"452","30","PCG","valued",0.26669954487051
"454","30","PCL","devalued",-0.029415692826073
"456","30","PCL","valued",0.042243699326847
"458","30","IFG","devalued",0.21472860772663
"460","30","IFG","valued",-0.226404349361338
"462","30","IPS","devalued",0.60689658854725
"464","30","IPS","valued",0.314590916953097
