"","US_value","run","se","N","mean"
"1","deval","Pre devaluation",0.187062438877316,29,8.24137931034483
"2","deval","Post devaluation",0.301037219473056,29,5.10344827586207
"3","val","Pre devaluation",0.180985606037851,29,8.13793103448276
"4","val","Post devaluation",0.243946006403005,29,7.51724137931035
