"","roi","CS","se","N","mean"
"1","Cuneus","devalued",0.0820863619690297,29,-0.147935406316982
"2","Cuneus","valued",0.0932039792258311,29,0.0454841557461568
"3","IPS","devalued",0.0720677258083547,29,-0.163961853123974
"4","IPS","valued",0.0656808526658789,29,-0.0901776238814993
"5","LOC","devalued",0.0832349334989431,29,-0.275861139430059
"6","LOC","valued",0.096358104917683,29,-0.114770936661567
"7","STG","devalued",0.125014374185591,29,-0.276102377194324
"8","STG","valued",0.0877271196790165,29,-0.0978875283691031
