"","roi","CS","se","N","mean"
"1","PCG","devalued",0.143610646604189,29,-0.55341221317056
"2","PCG","valued",0.152023354392305,29,-0.178417400854692
"3","PCL","devalued",0.101563664761831,29,-0.24188681950107
"4","PCL","valued",0.090144434552285,29,-0.0991887727062246
"5","IFG","devalued",0.20115264357871,29,-0.386288093153135
"6","IFG","valued",0.174498060230426,29,-0.257054393906846
"7","IPS","devalued",0.120922877668882,29,-0.114588921549942
"8","IPS","valued",0.140703677662157,29,0.121492871283083
