"","roi","N","mean","ci"
"1","MFG",29,0.249744385991859,0.716096094134027
"2","OFC",29,0.0787072898491917,0.579374818542566
"3","SFG",29,0.0637918996700024,0.847880309681097
"4","midbrain",29,0.0384107751276867,0.221647501537672
