"","roi","N","mean","ci"
"1","Cuneus",29,0.193419562063139,0.21277438138864
"2","IPS",29,0.0737842292424749,0.143369441157221
"3","LOC",29,0.161090202768492,0.252126558991243
"4","STG",29,0.178214848825221,0.254027817855736
