"","ID","feature","betas","RT_PE","RT"
"57","29","SPE",-0.0433649758693146,"SIDE_PE",-0.00278984883241759
"58","29","SPE",-0.0433649758693146,"ID_PE",-0.158106890082418
"59","8","SPE",0.998143058610694,"SIDE_PE",0.274555777291667
"60","8","SPE",0.998143058610694,"ID_PE",-0.107717737958333
"61","27","SPE",-0.130787909849688,"SIDE_PE",0.04718823
"62","27","SPE",-0.130787909849688,"ID_PE",-0.101731391
"63","9","SPE",-0.353903131209418,"SIDE_PE",-0.115167955335714
"64","9","SPE",-0.353903131209418,"ID_PE",-0.0919982715857143
"65","11","SPE",0.251988097996651,"SIDE_PE",0.00370763323214285
"66","11","SPE",0.251988097996651,"ID_PE",-0.0660700080178571
"67","7","SPE",0.872396763516752,"SIDE_PE",0.262218033299603
"68","7","SPE",0.872396763516752,"ID_PE",-0.0367509042003968
"69","18","SPE",0.360401155399397,"SIDE_PE",0.0788034592857143
"70","18","SPE",0.360401155399397,"ID_PE",-0.0365050607142857
"71","22","SPE",0.716884446327285,"SIDE_PE",-0.100077235379487
"72","22","SPE",0.716884446327285,"ID_PE",-0.0360517545461539
"73","5","SPE",0.0472651779109587,"SIDE_PE",0.0534504478035714
"74","5","SPE",0.0472651779109587,"ID_PE",-0.0275368493214286
"75","4","SPE",0.135431940934726,"SIDE_PE",-0.0197912781785714
"76","4","SPE",0.135431940934726,"ID_PE",-0.0228838156785714
"77","26","SPE",1.23406854189122,"SIDE_PE",0.0421087268696429
"78","26","SPE",1.23406854189122,"ID_PE",-0.0183696735678571
"79","24","SPE",0.481133334475874,"SIDE_PE",0.113468762946429
"80","24","SPE",0.481133334475874,"ID_PE",-0.0158378990535714
"81","19","SPE",0.753933478413019,"SIDE_PE",0.329434083125
"82","19","SPE",0.753933478413019,"ID_PE",-0.010269593125
"83","12","SPE",0.109468502531853,"SIDE_PE",0.118034047292857
"84","12","SPE",0.109468502531853,"ID_PE",-0.00136378110714286
"85","20","SPE",0.135404304151397,"SIDE_PE",-0.0496249574642857
"86","20","SPE",0.135404304151397,"ID_PE",0.0261307500357143
"87","25","SPE",0.0764482555614179,"SIDE_PE",0.291946439642857
"88","25","SPE",0.0764482555614179,"ID_PE",0.0263230858928571
"89","17","SPE",-0.1235607564304,"SIDE_PE",0.00652675924999999
"90","17","SPE",-0.1235607564304,"ID_PE",0.02781703425
"91","10","SPE",0.250032770836574,"SIDE_PE",0.180467089892857
"92","10","SPE",0.250032770836574,"ID_PE",0.0434819173928571
"93","21","SPE",0.134784380785513,"SIDE_PE",0.0951171777861953
"94","21","SPE",0.134784380785513,"ID_PE",0.060856218827862
"95","30","SPE",1.24068330250463,"SIDE_PE",0.0975778233589286
"96","30","SPE",1.24068330250463,"ID_PE",0.0644666846089286
"97","14","SPE",-0.0684837227928538,"SIDE_PE",-0.0149945422883598
"98","14","SPE",-0.0684837227928538,"ID_PE",0.0749102078491402
"99","28","SPE",0.640831989470664,"SIDE_PE",0.0666852726236264
"100","28","SPE",0.640831989470664,"ID_PE",0.0914796851236264
"101","13","SPE",0.270627693157177,"SIDE_PE",0.192918699821429
"102","13","SPE",0.270627693157177,"ID_PE",0.118379372321429
"103","15","SPE",0.731960880627609,"SIDE_PE",0.240822260357143
"104","15","SPE",0.731960880627609,"ID_PE",0.122017154107143
"105","1","SPE",1.17559588315812,"SIDE_PE",0.260719090714286
"106","1","SPE",1.17559588315812,"ID_PE",0.137071655714286
"107","3","SPE",1.00427751397864,"SIDE_PE",0.0772455230357143
"108","3","SPE",1.00427751397864,"ID_PE",0.150673616785714
"109","16","SPE",0.359568597011621,"SIDE_PE",0.231667958642857
"110","16","SPE",0.359568597011621,"ID_PE",0.256611572392857
"111","23","SPE",1.43575261833974,"SIDE_PE",0.258753532916667
"112","23","SPE",1.43575261833974,"ID_PE",0.297473315
