"","ROI","se","N","mean"
"1","IFG",0.0107282747825783,29,0.510632183908046
"2","IPS",0.0070680309633614,29,0.526436781609195
"3","PCG",0.0108710899022481,29,0.525574712643678
"4","PCL",0.0103525217691867,29,0.521264367816092
