"","roi","value","se","N","mean"
"1","vmPFC","devalued",0.240013922331619,29,-1.08589606439612
"2","vmPFC","valued",0.260761755265229,29,-0.70389674650597
"3","VS","devalued",0.163547214170754,29,-0.233149517117897
"4","VS","valued",0.108309587383628,29,0.0650084074577585
"5","midbrain","devalued",0.121109651295552,29,0.0748262369680653
"6","midbrain","valued",0.110112245536164,29,0.149843096275328
