"","ID","roi","CS","index"
"126","11","Cuneus","valued",0.339010485012884
"127","12","Cuneus","valued",0.177510635312328
"128","13","Cuneus","valued",0.33994849138835
"129","14","Cuneus","valued",-0.0831206556674633
"130","15","Cuneus","valued",-0.078835538786305
"131","16","Cuneus","valued",0.312014028201306
"132","17","Cuneus","valued",-0.321610643534095
"133","18","Cuneus","valued",-0.451010742633482
"134","19","Cuneus","valued",-0.999508472143612
"135","20","Cuneus","valued",1.12083464993949
"136","21","Cuneus","valued",-0.555128622909351
"137","22","Cuneus","valued",0.356113578752252
"138","23","Cuneus","valued",0.146686863433617
"139","24","Cuneus","valued",0.894262973609856
"140","25","Cuneus","valued",0.763343295037853
"141","26","Cuneus","valued",0.167966746420078
"142","27","Cuneus","valued",-0.078527373068179
"143","28","Cuneus","valued",0.707777063800207
"144","29","Cuneus","valued",0.638205913152646
"145","30","Cuneus","valued",-0.87671227533023
"146","1","IPS","valued",0.22061747295015
"147","3","IPS","valued",-2.52419523386394
"148","4","IPS","valued",-0.269280878147659
"149","5","IPS","valued",-0.362196479562451
"150","6","IPS","valued",-0.234422550251817
"151","7","IPS","valued",0.527836143225431
"152","8","IPS","valued",-0.0678387127816676
"153","9","IPS","valued",-1.33956252660821
"154","10","IPS","valued",-0.652510373798363
"155","11","IPS","valued",0.03820304912241
"156","12","IPS","valued",-0.079000217511373
"157","13","IPS","valued",0.0875702244832239
"158","14","IPS","valued",1.12039700579994
"159","15","IPS","valued",-0.00426569434211529
"160","16","IPS","valued",-0.048762984267052
"161","17","IPS","valued",-0.268197162076831
"162","18","IPS","valued",0.032819245142095
"163","19","IPS","valued",-0.966877225019476
"164","20","IPS","valued",0.185753704245915
"165","21","IPS","valued",-0.552819411281277
"166","22","IPS","valued",0.054300630048794
"167","23","IPS","valued",-0.16589676369639
"168","24","IPS","valued",0.400046994098845
"169","25","IPS","valued",0.286267356180093
"170","26","IPS","valued",0.616380447981989
"171","27","IPS","valued",0.157157517169767
"172","28","IPS","valued",0.270513133354047
"173","29","IPS","valued",0.725027186116752
"174","30","IPS","valued",0.197785010725698
"175","1","LOC","valued",0.40109537632929
"176","3","LOC","valued",-2.85117631267619
"177","4","LOC","valued",-0.684289378341701
