"","roi","value","se","N","mean"
"1","MFG","devalued",0.218948356075254,29,-0.35066293576354
"2","MFG","valued",0.227626115047852,29,-0.10091854977168
"3","OFC","devalued",0.119583934513649,29,0.288311025527473
"4","OFC","valued",0.185658716315137,29,0.341189832305442
"5","SFG","devalued",0.294716796735414,29,0.0988734183940944
"6","SFG","valued",0.193030029861229,29,0.162665318064097
"7","midbrain","devalued",0.122346565317954,29,0.0415925634475177
"8","midbrain","valued",0.13228481020579,29,0.0800033385752044
