ID PCG_L
01 0.5583333333333332
03 0.48333333333333334
04 0.525
05 0.525
06 0.5833333333333334
07 0.6166666666666667
08 0.4666666666666666
09 0.575
10 0.4083333333333334
11 0.5416666666666666
12 0.4583333333333333
13 0.5083333333333333
14 0.6
15 0.5833333333333334
16 0.5333333333333333
17 0.5333333333333333
18 0.5
19 0.5
20 0.43333333333333335
21 0.6083333333333333
22 0.5833333333333334
23 0.5333333333333333
24 0.4166666666666667
25 0.5833333333333334
26 0.48333333333333334
27 0.5083333333333334
28 0.6083333333333333
29 0.5166666666666666
30 0.4666666666666666
