ID IPS_R
01 0.5583333333333333
03 0.6166666666666667
04 0.5499999999999999
05 0.5
06 0.4833333333333334
07 0.5083333333333333
08 0.45
09 0.6
10 0.48333333333333334
11 0.49166666666666664
12 0.5166666666666667
13 0.4583333333333333
14 0.5583333333333333
15 0.525
16 0.525
17 0.525
18 0.5333333333333333
19 0.5333333333333333
20 0.55
21 0.5499999999999999
22 0.5
23 0.5333333333333333
24 0.55
25 0.5416666666666666
26 0.5
27 0.5416666666666666
28 0.525
29 0.575
30 0.48333333333333334
