ID IFG_R
01 0.5083333333333334
03 0.5
04 0.4583333333333333
05 0.43333333333333335
06 0.47500000000000003
07 0.4833333333333334
08 0.4833333333333334
09 0.525
10 0.5
11 0.5750000000000001
12 0.525
13 0.4583333333333333
14 0.5083333333333333
15 0.5083333333333334
16 0.5166666666666666
17 0.3833333333333333
18 0.5750000000000001
19 0.5333333333333333
20 0.45
21 0.5333333333333333
22 0.5333333333333333
23 0.6
24 0.44166666666666665
25 0.5833333333333334
26 0.55
27 0.6083333333333333
28 0.6333333333333334
29 0.4583333333333333
30 0.46666666666666673
