ID   alpha   eta   MF_VV   MF_RPE   MB_VV   MB_SPE   MB_UNC  pupil   dw   corr_value   corr_error
01   4.568007e-01    4.994376e-01    5.000000e-01    5.000000e-01   2.000000e-01    8.000000e-01   8.000000e-01    4.257731e-01   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    5.000000e-01    5.000000e-01   2.000000e-01    8.000000e-01   8.000000e-01    -8.444719e-02   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    7.284003e-01    2.715997e-01   5.995501e-01    4.004499e-01   4.004499e-01    7.061993e-02   4.060606e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    5.000000e-01    -5.000000e-01   0    8.000000e-01   8.000000e-01    -3.198105e-01   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    5.000000e-01    5.000000e-01   2.000000e-01    8.000000e-01   8.000000e-01    4.161106e-02   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    2.715997e-01    -2.715997e-01   0    4.004499e-01   4.004499e-01    4.439559e-02   4.790419e-02   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    5.000000e-01    5.000000e-01   2.000000e-01    8.000000e-01   8.000000e-01    3.064796e-01   2.774566e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    7.284003e-01    2.715997e-01   5.995501e-01    4.004499e-01   4.004499e-01    1.794260e-02   3.081395e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    1.475328e-01    -1.475328e-01   0    2.004501e-01   2.004501e-01    4.481142e-02   8.950617e-02   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    8.013969e-02    -8.013969e-02   0    1.003378e-01   1.003378e-01    -2.826206e-02   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    8.524672e-01    1.475328e-01   7.995499e-01    9.498875e-01   2.004501e-01    5.758984e-02   7.558140e-02   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    4.353183e-02    -4.353183e-02   0    5.022532e-02   5.022532e-02    3.693263e-01   6.547619e-02   8.314743e-01   6.262381e-02
