ID	sideSPE_in_sideSPE_MFG_ROI	sideSPE_in_sideSPE_SFG_ROI	sideSPE_in_sideSPE_VTA_ROI	sideSPE_in_sideSPE_left_OFC_ROI	sideSPE_in_sideSPE_right_OFC_ROI
01	0.502599346637726	0.691147729754448	0.453556190878779	0.514725570542657	0.740102759562433
03	0.487776041030884	0.668155867319841	0.401061215070115	0.745913706655088	0.413111289963126
04	0.267930418252945	-0.0330700129270554	0.204083967280864	0.183951023091441	0.0818891137838364
05	-0.178742149472237	-0.0265685956065471	-0.0517848471821356	0.0510763001506743	-0.0524258533492684
06	-0.181093024834991	-0.336224777767291	0.0116737268301619	-0.18752523061374	-0.106564563047141
07	0.792601084709167	0.242823674701727	0.325332591842328	0.740466660131579	0.872711785137653
08	0.359678047895432	0.0714141312592591	0.24239907268153	0.652395941122718	0.635214932262897
09	-0.217076563835144	-0.22729440105076	0.0283891563655949	0.219961530456076	-0.156420909706503
10	-0.503351157903671	-0.274755333192073	-0.0291020680539811	-0.372309070631214	-0.688057716190815
11	0.687781476974487	0.247319126931521	0.0793303085976288	-0.131931210892356	-0.0689902037149295
12	-0.458883440494537	-0.0301185813374244	0.00368445370729794	-0.340639510208174	-0.357504484336823
13	0.333554828166962	1.03530367291891	0.0902656415211303	1.06217135942501	0.524486000090837
14	-0.258562688529491	-0.372113097172517	0.0858312789507273	-0.0554532213055569	-0.0146959279663861
15	-0.29887056350708	-0.357000592809457	0.0212682872666281	-0.711175701929175	-0.46208146288991
16	-0.179493537545204	-0.392230223004635	0.027893857298685	-0.206790906061297	-0.310427197813988
17	0.176220950484276	0.137219012929843	0.0107633576830145	-0.260727469995618	-0.0483728250022978
18	0.134090172871947	0.110127388571317	0.0845019552512329	0.0149400512323431	0.237222161423415
19	0.59394793510437	0.15077344299509	0.0795201106356973	0.221366278065935	0.32070998987183
20	-0.0970263689756393	-0.281151873561052	-0.0171845547244454	0.0445447233343578	0.0698504040017724
21	0.123031680285931	0.157941525515455	0.127051209310899	0.185866295270946	-0.00433814614079893
22	0.973347103595734	0.930030776904179	0.0586509036385462	0.967236460291821	0.63141931630671
23	0.235167160630226	-0.158544633824092	0.0771134893229904	0.208870033855024	0.349464675039053
24	0.00918024629354477	0.659566846031409	0.344001237271714	0.508247860002777	0.414427495282143
25	-0.0709253370761871	0.477816173663506	0.165992770422281	0.110626672499854	-0.029470561305061
26	0.19170760512352	1.81472459206214	0.549299235479171	0.653600235267178	0.590049201063812
27	0.0816441394388676	0.227526996571284	-0.251627842441765	0.306525462282741	0.0667143650818616
28	-0.188532850146294	0.12448745385672	-0.103105467908523	-0.110992889138667	-0.0653052405454218
29	0.236373713612556	0.0761933702115829	0.182848774436705	0.804525769016017	0.657017649710178
30	0.434595704078674	0.0339763211802794	0.222467133869268	0.372317291925783	0.468841619323939
