ID	value_corr_in_idSPE_VTA_ROI	devalue_corr_in_idSPE_VTA_ROI
01	0.427624044248036	0.497957168058271
03	-0.973083187994503	-1.55856345196565
04	0.478561025503136	-0.641922997718766
05	0.419281210040762	0.46369129241932
06	-0.0371256269071074	0.244240509576741
07	-0.922682006887737	-0.798592063642684
08	0.341407365387394	-0.6939856286205
09	-0.0694784351048015	0.819508741866975
10	-0.370311094323794	-0.580074835604145
11	0.155832137832684	0.105364477510254
12	0.147391015858877	0.173488009969393
13	-0.153102596902422	-0.724215817593393
14	0.317276126944593	0.239421959150405
15	0.675922334690889	0.447360567038967
16	0.0253624460526875	-0.649805746014629
17	-0.319988277519033	0.534088842499824
18	-0.513008254624548	0.189598711296206
19	0.289139579804171	0.199316787719727
20	0.251533856278374	-0.0640585069677659
21	0.344924508531888	0.154914243448348
22	0.296526723035744	-0.163187810414959
23	1.2235428866886	1.38101398462341
24	0.209651368537119	-0.574948844597453
25	-0.282792922712508	0.711606961843513
26	-0.144881580876453	-0.332823018232981
27	-0.449469246147644	1.05091566372485
28	0.158401897008575	0.0762976054634367
29	-0.363266854130086	0.0641805836132595
30	1.15096723004466	1.21818184696493
