ID	idSPE_in_idSPE_VTA_ROI
01	0.274410781902926
03	-0.763685762350048
04	0.0782734005933716
05	-0.0281657704285213
06	0.106549650608074
07	-0.0267955162163292
08	0.194808516278863
09	-0.0239346519955212
10	0.356904963581335
11	0.0958730007155931
12	0.196582149816233
13	-0.348908873168486
14	0.256751165609984
15	0.303549502186832
16	0.263574317691936
17	-0.112319282247197
18	0.0857635137403295
19	0.418187552690506
20	-0.0586012253094287
21	0.155331466116366
22	0.295177050999233
23	0.368077777024536
24	0.201556049154273
25	0.123506747540973
26	0.428160112741448
27	0.0366305992716835
28	0.233319522972618
29	0.1778078766451
30	0.571544995265348
